ID : 67, AGE : 0, X = 21848, Y : -2122204160, V : 4.63624e-310, O : -40.8407, BHV : Multiple CAM : 0, PMR: 0.05
ID : 68, AGE : 0, X = 21848, Y : -2122204160, V : 4.63624e-310, O : -40.8407, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 69, AGE : 0, X = 21848, Y : -2122204160, V : 4.63624e-310, O : -40.8407, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 70, AGE : 0, X = 21848, Y : -2122204160, V : 4.63624e-310, O : -40.8407, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 71, AGE : 0, X = 21848, Y : -2122204160, V : 4.63624e-310, O : -40.8407, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 72, AGE : 0, X = 21848, Y : -2122204160, V : 4.63624e-310, O : -40.8407, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 73, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 74, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Peureuse CAM : 0, PMR: 0.05
ID : 75, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Multiple CAM : 0, PMR: 0.05
ID : 76, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 77, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Peureuse CAM : 0, PMR: 0.05
ID : 78, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Multiple CAM : 0, PMR: 0.05
ID : 79, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 80, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 81, AGE : 0, X = 21848, Y : -2122204128, V : 4.63624e-310, O : -40.8407, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 82, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 83, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 84, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 85, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 86, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 87, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 88, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 89, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 90, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 91, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 92, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 93, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0, PMR: 0.05
ID : 94, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 95, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 96, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 97, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0, PMR: 0.05
ID : 98, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 99, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 100, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
