ID : 113, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0.86909, PMR: 0.05
ID : 115, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0.897883, PMR: 0.05
ID : 116, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0, PMR: 0.05
ID : 117, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 119, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.287189, PMR: 0.05
ID : 120, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 121, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 122, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 123, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 125, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.501835, PMR: 0.05
ID : 126, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 127, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 129, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.417174, PMR: 0.05
ID : 131, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.30258, PMR: 0.05
ID : 132, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 133, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 135, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0.167241, PMR: 0.05
ID : 136, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 138, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0.867321, PMR: 0.05
ID : 140, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0.0316532, PMR: 0.05
ID : 142, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0.663252, PMR: 0.05
ID : 143, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 145, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Peureuse CAM : 0.157555, PMR: 0.05
ID : 146, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 147, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 148, AGE : 0, X = 0, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 149, AGE : 0, X = -6, Y : -8, V : 0, O : -144.513, BHV : Multiple CAM : 0, PMR: 0.05
ID : 150, AGE : 0, X = 21951, Y : -1280901976, V : 4.65857e-310, O : -260.752, BHV : Peureuse CAM : 0, PMR: 0.05
