ID : 113, AGE : 0, X = 424, Y : 195, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 114, AGE : 0, X = 249, Y : 94, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 116, AGE : 0, X = 270, Y : 329, V : 0, O : 0, BHV : Grégaire CAM : 0.820926, PMR: 0.05
ID : 117, AGE : 0, X = 558, Y : 69, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 119, AGE : 0, X = 77, Y : 460, V : 0, O : 0, BHV : Grégaire CAM : 0.264624, PMR: 0.05
ID : 120, AGE : 0, X = 122, Y : 104, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 121, AGE : 0, X = 413, Y : 263, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 122, AGE : 0, X = 102, Y : 68, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 123, AGE : 0, X = 13, Y : 77, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 125, AGE : 0, X = 593, Y : 445, V : 0, O : 0, BHV : Grégaire CAM : 0.138114, PMR: 0.05
ID : 127, AGE : 0, X = 121, Y : 342, V : 0, O : 0, BHV : Grégaire CAM : 0.541743, PMR: 0.05
ID : 129, AGE : 0, X = 511, Y : 390, V : 0, O : 0, BHV : Grégaire CAM : 0.214741, PMR: 0.05
ID : 130, AGE : 0, X = 111, Y : 180, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 131, AGE : 0, X = 510, Y : 53, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 132, AGE : 0, X = 184, Y : 222, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 134, AGE : 0, X = 242, Y : 87, V : 0, O : 0, BHV : Grégaire CAM : 0.112157, PMR: 0.05
ID : 136, AGE : 0, X = 513, Y : 432, V : 0, O : 0, BHV : Grégaire CAM : 0.784489, PMR: 0.05
ID : 137, AGE : 0, X = 533, Y : 349, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 139, AGE : 0, X = 637, Y : 389, V : 0, O : 0, BHV : Grégaire CAM : 0.43474, PMR: 0.05
ID : 141, AGE : 0, X = 207, Y : 60, V : 0, O : 0, BHV : Grégaire CAM : 0.584998, PMR: 0.05
ID : 142, AGE : 0, X = 634, Y : 476, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
